model,attribute,class,support,precision,recall,f1
gemini-2.5-flash-lite,Hard to spot?,Easy,2489,0.8105143721633888,0.8609883487344315,0.8349892850185077
gemini-2.5-flash-lite,Hard to spot?,Medium,754,0.2595785440613027,0.3594164456233422,0.3014460511679644
gemini-2.5-flash-lite,Hard to spot?,Hard,591,0.18493150684931506,0.04568527918781726,0.07327001356852103
gemini-2.5-flash-lite,Accident or design?,Accident,1976,0.920593931568754,0.72165991902834,0.8090780141843972
gemini-2.5-flash-lite,Accident or design?,Design,1878,0.7613882863340564,0.9345047923322684,0.839110686110447
gemini-2.5-flash-lite,Emotion?,Happy,1121,0.7863849765258216,0.5976806422836753,0.6791687785098834
gemini-2.5-flash-lite,Emotion?,Neutral,1958,0.6487686717803794,0.8207354443309499,0.7246899661781284
gemini-2.5-flash-lite,Emotion?,Disgusted,34,0.0,0.0,
gemini-2.5-flash-lite,Emotion?,Angry,135,0.36363636363636365,0.08888888888888889,0.14285714285714285
gemini-2.5-flash-lite,Emotion?,Surprised,262,0.3877551020408163,0.1450381679389313,0.21111111111111108
gemini-2.5-flash-lite,Emotion?,Scared,215,0.6666666666666666,0.009302325581395349,0.01834862385321101
gemini-2.5-flash-lite,Emotion?,Sad,121,0.4722222222222222,0.14049586776859505,0.21656050955414013
gemini-2.5-flash-lite,Emotion?,Other,21,0.010899182561307902,0.19047619047619047,0.020618556701030927
gemini-2.5-flash-lite,Person or creature?,Human-Adult,605,0.5625,0.02975206611570248,0.0565149136577708
gemini-2.5-flash-lite,Person or creature?,Human-Old,154,0.19101123595505617,0.11038961038961038,0.139917695473251
gemini-2.5-flash-lite,Person or creature?,Human-Young,159,0.03571428571428571,0.006289308176100629,0.010695187165775402
gemini-2.5-flash-lite,Person or creature?,Cartoon,639,0.2755004766444233,0.4522691705790297,0.3424170616113745
gemini-2.5-flash-lite,Person or creature?,Animal,875,0.6358792184724689,0.40914285714285714,0.49791376912378305
gemini-2.5-flash-lite,Person or creature?,Robot,502,0.6666666666666666,0.1553784860557769,0.2520193861066236
gemini-2.5-flash-lite,Person or creature?,Alien,259,0.2,0.003861003861003861,0.007575757575757577
gemini-2.5-flash-lite,Person or creature?,Other,669,0.18039413845376454,0.5336322869955157,0.26963746223564955
gemini-2.5-flash-lite,Gender?,Male,615,0.5869565217391305,0.08780487804878048,0.15275813295615276
gemini-2.5-flash-lite,Gender?,Female,109,0.5263157894736842,0.1834862385321101,0.272108843537415
gemini-2.5-flash-lite,Gender?,Neutral,3136,0.826005361930295,0.9824617346938775,0.897465773376056
gemini-2.5-flash-lite,Amusing?,Yes,197,0.07063356164383562,0.8375634517766497,0.1302803000394789
gemini-2.5-flash-lite,Amusing?,Somewhat,927,0.23507462686567165,0.27184466019417475,0.25212606303151575
gemini-2.5-flash-lite,Amusing?,No,2742,0.7663755458515283,0.12800875273522977,0.21937500000000001
qwen2.5vl,Hard to spot?,Easy,16,,0.0,
qwen2.5vl,Hard to spot?,Medium,3,0.1875,1.0,0.3157894736842105
qwen2.5vl,Hard to spot?,Hard,0,0.0,,
qwen2.5vl,Accident or design?,Accident,2,,0.0,
qwen2.5vl,Accident or design?,Design,17,0.8947368421052632,1.0,0.9444444444444444
qwen2.5vl,Emotion?,Happy,8,1.0,0.5,0.6666666666666666
qwen2.5vl,Emotion?,Neutral,9,0.6428571428571429,1.0,0.782608695652174
qwen2.5vl,Emotion?,Disgusted,1,1.0,1.0,1.0
qwen2.5vl,Emotion?,Angry,0,,,
qwen2.5vl,Emotion?,Surprised,1,,0.0,
qwen2.5vl,Emotion?,Scared,0,,,
qwen2.5vl,Emotion?,Sad,0,,,
qwen2.5vl,Emotion?,Other,0,,,
qwen2.5vl,Person or creature?,Human-Adult,7,1.0,0.2857142857142857,0.4444444444444445
qwen2.5vl,Person or creature?,Human-Old,0,0.0,,
qwen2.5vl,Person or creature?,Human-Young,1,0.0,0.0,
qwen2.5vl,Person or creature?,Cartoon,3,0.2222222222222222,0.6666666666666666,0.3333333333333333
qwen2.5vl,Person or creature?,Animal,4,0.6666666666666666,0.5,0.5714285714285715
qwen2.5vl,Person or creature?,Robot,0,0.0,,
qwen2.5vl,Person or creature?,Alien,1,0.0,0.0,
qwen2.5vl,Person or creature?,Other,3,1.0,0.3333333333333333,0.5
qwen2.5vl,Gender?,Male,6,1.0,0.3333333333333333,0.5
qwen2.5vl,Gender?,Female,1,0.0,0.0,
qwen2.5vl,Gender?,Neutral,12,0.6875,0.9166666666666666,0.7857142857142857
qwen2.5vl,Amusing?,Yes,4,0.2222222222222222,1.0,0.3636363636363636
qwen2.5vl,Amusing?,Somewhat,4,0.0,0.0,
qwen2.5vl,Amusing?,No,11,,0.0,
gemma3,Hard to spot?,Easy,2341,0.9378238341968912,0.0773173857325929,0.14285714285714285
gemma3,Hard to spot?,Medium,707,0.1944599888080582,0.983026874115983,0.3246904928754964
gemma3,Hard to spot?,Hard,719,,0.0,
gemma3,Accident or design?,Accident,1949,0.6666666666666666,0.004104669061056952,0.008159102498725139
gemma3,Accident or design?,Design,1836,0.48555526106546515,0.9978213507625272,0.653235870921733
gemma3,Emotion?,Happy,1074,0.768976897689769,0.2169459962756052,0.3384168482207698
gemma3,Emotion?,Neutral,1946,0.5488245931283906,0.9357656731757451,0.6918693009118542
gemma3,Emotion?,Disgusted,33,0.0,0.0,
gemma3,Emotion?,Angry,140,0.0,0.0,
gemma3,Emotion?,Surprised,232,0.07547169811320754,0.05172413793103448,0.06138107416879795
gemma3,Emotion?,Scared,226,,0.0,
gemma3,Emotion?,Sad,127,,0.0,
gemma3,Emotion?,Other,20,,0.0,
gemma3,Person or creature?,Human-Adult,661,0.5217391304347826,0.018154311649016642,0.03508771929824562
gemma3,Person or creature?,Human-Old,202,0.0,0.0,
gemma3,Person or creature?,Human-Young,155,0.2857142857142857,0.012903225806451613,0.02469135802469136
gemma3,Person or creature?,Cartoon,544,0.22423556058890148,0.3639705882352941,0.2775052557813595
gemma3,Person or creature?,Animal,938,0.8,0.0042643923240938165,0.008483563096500531
gemma3,Person or creature?,Robot,336,0.4146341463414634,0.050595238095238096,0.09018567639257294
gemma3,Person or creature?,Alien,295,0.0,0.0,
gemma3,Person or creature?,Other,661,0.17503536067892503,0.7488653555219364,0.2837489251934652
gemma3,Gender?,Male,690,,0.0,
gemma3,Gender?,Female,113,0.5,0.008849557522123894,0.017391304347826087
gemma3,Gender?,Neutral,2986,0.7882228677053076,0.9996651038178165,0.8814410157980215
gemma3,Amusing?,Yes,208,0.07,0.16826923076923078,0.09887005649717515
gemma3,Amusing?,Somewhat,921,0.23536685902720528,0.6199782844733985,0.3412010755900806
gemma3,Amusing?,No,2668,0.6854190585533869,0.22376311844077962,0.33738344165018364
