model,attribute,total_rows,valid_rows,coverage,accuracy_valid_only,accuracy_strict,abstain_rate
gemini-2.5-flash-lite,Hard to spot?,4537,3834,0.8450517963411946,0.6366718831507564,0.5380207185364779,0.15494820365880535
gemini-2.5-flash-lite,Accident or design?,4537,3854,0.8494599955918007,0.8253762324857291,0.7011240908089046,0.15054000440819926
gemini-2.5-flash-lite,Emotion?,4537,3867,0.8523253251046947,0.6077062322213602,0.51796341194622,0.14767467489530528
gemini-2.5-flash-lite,Person or creature?,4537,3862,0.8512232752920432,0.28974624546866906,0.2466387480714128,0.14877672470795678
gemini-2.5-flash-lite,Gender?,4537,3860,0.8507824553669826,0.8173575129533679,0.6953934317831166,0.1492175446330174
gemini-2.5-flash-lite,Amusing?,4537,3866,0.8521049151421645,0.19865494050698396,0.1692748512232753,0.14789508485783553
qwen2.5vl,Hard to spot?,4537,19,0.004187789288075821,0.15789473684210525,0.0006612298875909191,0.9958122107119242
qwen2.5vl,Accident or design?,4537,19,0.004187789288075821,0.8947368421052632,0.0037469693630152083,0.9958122107119242
qwen2.5vl,Emotion?,4537,19,0.004187789288075821,0.7368421052631579,0.003085739475424289,0.9958122107119242
qwen2.5vl,Person or creature?,4537,19,0.004187789288075821,0.3684210526315789,0.0015428697377121445,0.9958122107119242
qwen2.5vl,Gender?,4537,19,0.004187789288075821,0.6842105263157895,0.0028653295128939827,0.9958122107119242
qwen2.5vl,Amusing?,4537,19,0.004187789288075821,0.21052631578947367,0.0008816398501212254,0.9958122107119242
gemma3,Hard to spot?,4537,3767,0.8302843288516641,0.23254579240775153,0.1930791271765484,0.16971567114833586
gemma3,Accident or design?,4537,3785,0.8342517081772096,0.4861294583883752,0.4055543310557637,0.16574829182279038
gemma3,Emotion?,4537,3798,0.8371170376901036,0.5439705107951553,0.455366982587613,0.1628829623098964
gemma3,Person or creature?,4537,3792,0.8357945779149217,0.19198312236286919,0.16045845272206302,0.16420542208507827
gemma3,Gender?,4537,3789,0.8351333480273309,0.7880707310636051,0.6581441481154948,0.16486665197266914
gemma3,Amusing?,4537,3797,0.8368966277275733,0.31682907558598894,0.26515318492395856,0.16310337227242666
