model,attribute,support,coverage,accuracy,micro_f1,macro_f1,weighted_f1
gemini-2.5-flash-lite,Hard to spot?,3834,0.8450517963411946,0.6366718831507564,0.6366718831507564,0.40323511658499767,0.6126450785108781
gemini-2.5-flash-lite,Accident or design?,3854,0.8494599955918007,0.8253762324857291,0.8253762324857291,0.824094350147422,0.8237125128551605
gemini-2.5-flash-lite,Emotion?,3867,0.8523253251046947,0.6077062322213602,0.6077062322213602,0.2876220983949497,0.591018811833047
gemini-2.5-flash-lite,Person or creature?,3862,0.8512232752920432,0.28974624546866906,0.28974624546866906,0.19708640411874817,0.2643142797129634
gemini-2.5-flash-lite,Gender?,3860,0.8507824553669826,0.8173575129533679,0.8173575129533679,0.4407775832898746,0.7611551246168196
gemini-2.5-flash-lite,Amusing?,3866,0.8521049151421645,0.19865494050698396,0.19865494050698396,0.20059378769033154,0.22268813490377454
qwen2.5vl,Hard to spot?,19,0.004187789288075821,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.04986149584487534
qwen2.5vl,Accident or design?,19,0.004187789288075821,0.8947368421052632,0.8947368421052632,0.9444444444444444,0.8450292397660818
qwen2.5vl,Emotion?,19,0.004187789288075821,0.7368421052631579,0.7368421052631579,0.8164251207729469,0.7040427154843631
qwen2.5vl,Person or creature?,19,0.004187789288075821,0.3684210526315789,0.3684210526315789,0.4623015873015873,0.41562238930659984
qwen2.5vl,Gender?,19,0.004187789288075821,0.6842105263157895,0.6842105263157895,0.6428571428571428,0.6541353383458647
qwen2.5vl,Amusing?,19,0.004187789288075821,0.21052631578947367,0.21052631578947367,0.3636363636363636,0.07655502392344497
gemma3,Hard to spot?,3767,0.8302843288516641,0.23254579240775153,0.23254579240775153,0.23377381786631962,0.14971721526189205
gemma3,Accident or design?,3785,0.8342517081772096,0.4861294583883752,0.4861294583883752,0.330697486710229,0.32106820337709824
gemma3,Emotion?,3798,0.8371170376901036,0.5439705107951553,0.5439705107951553,0.36388907443380725,0.45394359235669723
gemma3,Person or creature?,3792,0.8357945779149217,0.19198312236286919,0.19198312236286919,0.11995041629780585,0.10648760841253416
gemma3,Gender?,3789,0.8351333480273309,0.7880707310636051,0.7880707310636051,0.4494161600729238,0.6951565295761933
gemma3,Amusing?,3797,0.8368966277275733,0.31682907558598894,0.31682907558598894,0.2591515245791465,0.32524366202069177
